"Shortname (property Name equals the Store-Name)","Kurz Name (die Property Name wird anhand des Storenamen gesetzt)"
"Author","Autor"
"Theme color (hex or color name)","Theme-Farbe (Hex-Wert oder Farbname)"
"Background color (hex or color name)","Hintergrund-Farbe (Hex-Wert oder Farbname)"
